epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1561.97,1.61855,1.91153,1.27661,0.5568,0.48202,0.48462,0.18672,2.2535,3.04677,1.60642,0.000815959,0.000815959,0.000815959
67,1582.4,1.63896,1.91462,1.27468,0.53678,0.43336,0.43792,0.15903,2.31041,3.24233,1.6284,0.000806528,0.000806528,0.000806528
68,1609.21,1.63337,1.9018,1.26999,0.6237,0.48593,0.50429,0.19813,2.21991,2.90548,1.62734,0.000797096,0.000797096,0.000797096
69,1630.83,1.59275,1.90418,1.27007,0.63273,0.5158,0.53682,0.21159,2.28507,2.98024,1.62761,0.000787665,0.000787665,0.000787665
70,1651.52,1.61941,1.87768,1.25373,0.64005,0.54297,0.54565,0.23306,2.18172,2.74156,1.55358,0.000778233,0.000778233,0.000778233
71,1679.16,1.61503,1.86991,1.25138,0.62628,0.57476,0.57609,0.24786,2.22008,2.75085,1.59157,0.000768802,0.000768802,0.000768802
72,1702.63,1.6313,1.84999,1.25275,0.65433,0.52471,0.54217,0.23033,2.23179,2.78498,1.61092,0.000759371,0.000759371,0.000759371
73,1721.94,1.62272,1.82782,1.24175,0.60268,0.51608,0.53684,0.22348,2.20081,2.69534,1.59723,0.000749939,0.000749939,0.000749939
74,1744.15,1.59854,1.8472,1.26156,0.62298,0.55113,0.55352,0.23036,2.09629,2.77591,1.55698,0.000740508,0.000740508,0.000740508
75,1765.64,1.58694,1.81226,1.25491,0.61288,0.51894,0.52227,0.22455,2.21276,2.692,1.57429,0.000731076,0.000731076,0.000731076
76,1795.04,1.60891,1.84129,1.24909,0.62869,0.52525,0.54836,0.23988,2.19272,2.67539,1.58634,0.000721645,0.000721645,0.000721645
77,1815.37,1.60115,1.80443,1.25689,0.59965,0.53315,0.52392,0.21539,2.30698,3.09817,1.64622,0.000712214,0.000712214,0.000712214
78,1836.22,1.59121,1.79562,1.25286,0.67592,0.52417,0.55987,0.24493,2.18413,2.73356,1.58756,0.000702782,0.000702782,0.000702782
