epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1624.09,1.61938,1.86079,1.2548,0.65669,0.50552,0.55267,0.23226,2.12214,2.79027,1.52914,0.000740508,0.000740508,0.000740508
75,1643.32,1.60073,1.8287,1.24558,0.65985,0.51096,0.52068,0.2147,2.15242,2.68506,1.52342,0.000731076,0.000731076,0.000731076
76,1670.74,1.62534,1.84388,1.25394,0.64271,0.50221,0.51571,0.22306,2.21925,2.72468,1.55363,0.000721645,0.000721645,0.000721645
77,1689.56,1.61775,1.81037,1.25022,0.56718,0.50816,0.50241,0.21805,2.23791,2.78722,1.56515,0.000712214,0.000712214,0.000712214
78,1713.98,1.6085,1.80844,1.24782,0.67229,0.5412,0.55292,0.22465,2.14245,2.57819,1.51883,0.000702782,0.000702782,0.000702782
79,1735.03,1.59391,1.78504,1.24757,0.60003,0.50758,0.50737,0.20726,2.22173,2.65708,1.54695,0.000693351,0.000693351,0.000693351
80,1755.18,1.59537,1.82038,1.24049,0.62235,0.51022,0.53767,0.22045,2.22268,2.80077,1.58537,0.000683919,0.000683919,0.000683919
81,1777.21,1.6032,1.82211,1.23146,0.6302,0.49259,0.52202,0.21869,2.20727,2.66291,1.56431,0.000674488,0.000674488,0.000674488
82,1797.94,1.60046,1.79338,1.23252,0.61797,0.48383,0.51047,0.22288,2.19717,2.87929,1.54586,0.000665057,0.000665057,0.000665057
83,1817.71,1.58705,1.75224,1.23031,0.63526,0.52556,0.54117,0.24375,2.2083,2.70411,1.55849,0.000655625,0.000655625,0.000655625
84,1839.95,1.5962,1.78039,1.23396,0.62414,0.51297,0.52686,0.2331,2.19463,2.69211,1.52131,0.000646194,0.000646194,0.000646194
85,1859.94,1.5613,1.74602,1.22149,0.65077,0.53777,0.53587,0.23834,2.17749,2.52635,1.54925,0.000636762,0.000636762,0.000636762
