epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1329.04,1.43679,0.98807,1.16168,0.60865,0.51284,0.52924,0.23899,2.28339,1.80776,1.5877,0.000731076,0.000731076,0.000731076
76,1346.2,1.45331,0.97663,1.14603,0.55842,0.52338,0.51337,0.22158,2.30054,1.91667,1.62378,0.000721645,0.000721645,0.000721645
77,1363.47,1.43863,0.97224,1.14777,0.60787,0.54558,0.54906,0.22525,2.29192,1.89091,1.62446,0.000712214,0.000712214,0.000712214
78,1381.78,1.43468,0.96071,1.14343,0.66177,0.50756,0.54452,0.22598,2.3081,1.82109,1.63491,0.000702782,0.000702782,0.000702782
79,1398.95,1.42183,0.9478,1.1399,0.57395,0.50205,0.50729,0.20637,2.39528,1.91306,1.64577,0.000693351,0.000693351,0.000693351
80,1416.65,1.41871,0.95978,1.14475,0.59466,0.5139,0.5249,0.2167,2.26439,1.84334,1.62033,0.000683919,0.000683919,0.000683919
81,1433.78,1.42321,0.94112,1.12004,0.66337,0.48834,0.52133,0.21633,2.32264,1.8446,1.64241,0.000674488,0.000674488,0.000674488
82,1451.6,1.41013,0.92365,1.12039,0.63701,0.53785,0.57501,0.24283,2.36806,1.88705,1.66285,0.000665057,0.000665057,0.000665057
83,1468.66,1.39431,0.91213,1.11435,0.61888,0.50893,0.54015,0.24303,2.32254,1.81396,1.67472,0.000655625,0.000655625,0.000655625
84,1486.45,1.39381,0.91431,1.11249,0.57794,0.51863,0.54364,0.24233,2.24264,1.7812,1.61237,0.000646194,0.000646194,0.000646194
85,1503.54,1.41091,0.92563,1.13062,0.69112,0.52018,0.57047,0.25232,2.28545,1.79342,1.63342,0.000636762,0.000636762,0.000636762
86,1520.4,1.37288,0.89893,1.1303,0.6063,0.50709,0.54571,0.24478,2.25011,1.86374,1.65747,0.000627331,0.000627331,0.000627331
87,1538.38,1.39248,0.91113,1.11817,0.65628,0.53277,0.56542,0.25526,2.36952,1.93821,1.6556,0.0006179,0.0006179,0.0006179
88,1555.48,1.37777,0.91189,1.11777,0.61027,0.4899,0.53308,0.23803,2.23754,1.86869,1.60642,0.000608468,0.000608468,0.000608468
89,1573.38,1.34985,0.8763,1.12015,0.66268,0.52757,0.56279,0.24535,2.2199,1.79449,1.60182,0.000599037,0.000599037,0.000599037
90,1590.3,1.34397,0.8655,1.10477,0.58202,0.51117,0.53639,0.24058,2.24386,1.83051,1.62933,0.000589605,0.000589605,0.000589605
91,1607.9,1.35867,0.8628,1.12013,0.61558,0.53219,0.55013,0.25388,2.32339,1.89416,1.65619,0.000580174,0.000580174,0.000580174
92,1624.9,1.37101,0.88489,1.11805,0.57813,0.54473,0.54337,0.23183,2.29198,1.84936,1.62327,0.000570743,0.000570743,0.000570743
93,1642.83,1.34515,0.85164,1.09645,0.64926,0.51101,0.5547,0.24463,2.21885,1.84926,1.62186,0.000561311,0.000561311,0.000561311
94,1659.8,1.34721,0.86145,1.10209,0.62429,0.52834,0.54551,0.23281,2.28455,1.93854,1.64997,0.00055188,0.00055188,0.00055188
95,1676.53,1.33535,0.85588,1.11312,0.66313,0.51585,0.53746,0.2407,2.31842,1.93039,1.61165,0.000542448,0.000542448,0.000542448
96,1694.55,1.35477,0.86294,1.10146,0.59652,0.54172,0.526,0.22329,2.33118,1.82954,1.66009,0.000533017,0.000533017,0.000533017
97,1711.48,1.3198,0.83329,1.09022,0.70364,0.5006,0.54209,0.24109,2.36996,1.86525,1.69061,0.000523586,0.000523586,0.000523586
98,1729.42,1.3178,0.8352,1.09122,0.63415,0.50995,0.53958,0.23502,2.34366,1.90254,1.7074,0.000514154,0.000514154,0.000514154
99,1747,1.35078,0.85604,1.10028,0.65104,0.53094,0.5558,0.24712,2.2861,1.8073,1.67259,0.000504723,0.000504723,0.000504723
100,1765.81,1.33733,0.83806,1.08565,0.61768,0.54336,0.55292,0.23462,2.29528,1.83717,1.66291,0.000495291,0.000495291,0.000495291
101,1783.41,1.3301,0.83682,1.0803,0.59481,0.5164,0.52173,0.24111,2.40184,1.87718,1.68437,0.00048586,0.00048586,0.00048586
102,1801.5,1.29688,0.81815,1.09248,0.63666,0.51358,0.54354,0.2349,2.29737,1.82461,1.64085,0.000476429,0.000476429,0.000476429
103,1818.88,1.29892,0.81548,1.06565,0.60703,0.52184,0.53052,0.24095,2.2576,1.8661,1.61382,0.000466997,0.000466997,0.000466997
